MapDate,RegionName,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20230704,I,84.20,15.80,1.53,0.00,0.00,0.00,2023-07-04,2023-07-10,1
20230704,II,25.65,74.35,14.99,0.08,0.00,0.00,2023-07-04,2023-07-10,1
20230704,III,30.84,69.16,26.62,1.89,0.00,0.00,2023-07-04,2023-07-10,1
20230704,IV,79.99,20.01,3.49,0.00,0.00,0.00,2023-07-04,2023-07-10,1
20230627,I,76.36,23.64,1.52,0.00,0.00,0.00,2023-06-27,2023-07-03,1
20230627,II,22.66,77.34,16.80,0.08,0.00,0.00,2023-06-27,2023-07-03,1
20230627,III,27.64,72.36,35.61,2.43,0.00,0.00,2023-06-27,2023-07-03,1
20230627,IV,76.02,23.98,4.44,0.00,0.00,0.00,2023-06-27,2023-07-03,1
20230620,I,74.31,25.69,1.52,0.00,0.00,0.00,2023-06-20,2023-06-26,1
20230620,II,12.79,87.21,17.90,0.08,0.00,0.00,2023-06-20,2023-06-26,1
20230620,III,14.46,85.54,56.33,2.69,0.00,0.00,2023-06-20,2023-06-26,1
20230620,IV,65.80,34.20,5.96,0.00,0.00,0.00,2023-06-20,2023-06-26,1
20230613,I,62.26,37.74,5.35,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230613,II,15.92,84.08,10.89,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230613,III,21.56,78.44,52.00,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230613,IV,64.06,35.94,6.33,0.00,0.00,0.00,2023-06-13,2023-06-19,1
20230606,I,62.18,37.82,8.35,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230606,II,22.52,77.48,2.27,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230606,III,29.01,70.99,31.00,0.00,0.00,0.00,2023-06-06,2023-06-12,1
20230606,IV,76.25,23.75,5.05,0.25,0.00,0.00,2023-06-06,2023-06-12,1
20230530,I,56.43,43.57,0.00,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230530,II,76.32,23.68,0.21,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230530,III,42.02,57.98,4.95,0.00,0.00,0.00,2023-05-30,2023-06-05,1
20230530,IV,86.92,13.08,2.10,1.20,0.00,0.00,2023-05-30,2023-06-05,1
20230523,I,75.10,24.90,0.00,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230523,II,97.26,2.74,0.37,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230523,III,81.14,18.86,0.95,0.00,0.00,0.00,2023-05-23,2023-05-29,1
20230523,IV,89.04,10.96,3.82,2.27,1.27,0.00,2023-05-23,2023-05-29,1
20230516,I,62.07,37.93,0.00,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230516,II,96.00,4.00,1.14,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230516,III,80.78,19.22,1.48,0.00,0.00,0.00,2023-05-16,2023-05-22,1
20230516,IV,83.83,16.17,6.63,2.13,1.33,0.00,2023-05-16,2023-05-22,1
20230509,I,92.36,7.64,0.00,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230509,II,95.86,4.14,1.15,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230509,III,68.86,31.14,2.10,0.00,0.00,0.00,2023-05-09,2023-05-15,1
20230509,IV,84.01,15.99,6.74,2.11,0.97,0.00,2023-05-09,2023-05-15,1
20230502,I,87.14,12.86,0.40,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230502,II,95.40,4.60,1.04,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230502,III,69.01,30.99,2.09,0.00,0.00,0.00,2023-05-02,2023-05-08,1
20230502,IV,83.52,16.48,7.09,2.11,0.79,0.00,2023-05-02,2023-05-08,1
