MapDate,StateAbbreviation,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20191112,MA,100,0,0,0,0,0,11/12/19,11/18/19,1
20191105,MA,100,0,0,0,0,0,11/5/19,11/11/19,1
20190910,MA,100,0,0,0,0,0,9/10/19,9/16/19,1
20190903,MA,100,0,0,0,0,0,9/3/19,9/9/19,1
20190730,MA,100,0,0,0,0,0,7/30/19,8/5/19,1
20190723,MA,100,0,0,0,0,0,7/23/19,7/29/19,1
20190709,MA,100,0,0,0,0,0,7/9/19,7/15/19,1
20190702,MA,100,0,0,0,0,0,7/2/19,7/8/19,1
20190625,MA,100,0,0,0,0,0,6/25/19,7/1/19,1
20190618,MA,100,0,0,0,0,0,6/18/19,6/24/19,1
20190611,MA,100,0,0,0,0,0,6/11/19,6/17/19,1
20190604,MA,100,0,0,0,0,0,6/4/19,6/10/19,1
20190528,MA,100,0,0,0,0,0,5/28/19,6/3/19,1
20190521,MA,100,0,0,0,0,0,5/21/19,5/27/19,1
20190514,MA,100,0,0,0,0,0,5/14/19,5/20/19,1
20190507,MA,100,0,0,0,0,0,5/7/19,5/13/19,1
20190430,MA,100,0,0,0,0,0,4/30/19,5/6/19,1
20190423,MA,100,0,0,0,0,0,4/23/19,4/29/19,1
20190416,MA,100,0,0,0,0,0,4/16/19,4/22/19,1
20190409,MA,100,0,0,0,0,0,4/9/19,4/15/19,1
20190402,MA,100,0,0,0,0,0,4/2/19,4/8/19,1
20190326,MA,100,0,0,0,0,0,3/26/19,4/1/19,1
20190319,MA,100,0,0,0,0,0,3/19/19,3/25/19,1
20190312,MA,100,0,0,0,0,0,3/12/19,3/18/19,1
20190305,MA,100,0,0,0,0,0,3/5/19,3/11/19,1
20190226,MA,100,0,0,0,0,0,2/26/19,3/4/19,1
20190219,MA,100,0,0,0,0,0,2/19/19,2/25/19,1
20190212,MA,100,0,0,0,0,0,2/12/19,2/18/19,1
20190205,MA,100,0,0,0,0,0,2/5/19,2/11/19,1
20190129,MA,100,0,0,0,0,0,1/29/19,2/4/19,1
20190122,MA,100,0,0,0,0,0,1/22/19,1/28/19,1
20190115,MA,100,0,0,0,0,0,1/15/19,1/21/19,1
20190108,MA,100,0,0,0,0,0,1/8/19,1/14/19,1
20190101,MA,100,0,0,0,0,0,1/1/19,1/7/19,1
20181225,MA,100,0,0,0,0,0,12/25/18,12/31/18,1
20181218,MA,100,0,0,0,0,0,12/18/18,12/24/18,1
20181211,MA,100,0,0,0,0,0,12/11/18,12/17/18,1
20181204,MA,100,0,0,0,0,0,12/4/18,12/10/18,1
20181127,MA,100,0,0,0,0,0,11/27/18,12/3/18,1
20181120,MA,100,0,0,0,0,0,11/20/18,11/26/18,1
20181113,MA,100,0,0,0,0,0,11/13/18,11/19/18,1
20181106,MA,100,0,0,0,0,0,11/6/18,11/12/18,1
20181030,MA,100,0,0,0,0,0,10/30/18,11/5/18,1
20180515,MA,100,0,0,0,0,0,5/15/18,5/21/18,1
20180508,MA,100,0,0,0,0,0,5/8/18,5/14/18,1
20180501,MA,100,0,0,0,0,0,5/1/18,5/7/18,1
20180424,MA,100,0,0,0,0,0,4/24/18,4/30/18,1
20180417,MA,100,0,0,0,0,0,4/17/18,4/23/18,1
20180410,MA,100,0,0,0,0,0,4/10/18,4/16/18,1
20180403,MA,100,0,0,0,0,0,4/3/18,4/9/18,1
20180327,MA,100,0,0,0,0,0,3/27/18,4/2/18,1
20180320,MA,100,0,0,0,0,0,3/20/18,3/26/18,1
20180313,MA,100,0,0,0,0,0,3/13/18,3/19/18,1
20180306,MA,100,0,0,0,0,0,3/6/18,3/12/18,1
20180227,MA,100,0,0,0,0,0,2/27/18,3/5/18,1
20180220,MA,100,0,0,0,0,0,2/20/18,2/26/18,1
20180213,MA,100,0,0,0,0,0,2/13/18,2/19/18,1
20180206,MA,100,0,0,0,0,0,2/6/18,2/12/18,1
