"Year","Average_MEL"
2013,27.9382239382239
2014,14.3172413793103
2015,10.6440217391304
2016,5.63911290322581
2017,8.72413793103448
2018,22.9335443037975
2019,61.4410256410256
2020,13.9586645468998
2021,18.3956386292835
