week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Avg_TMAX,Total_PRCP,week_num.y.y,Hrs_Above_80_lag,Hrs_Above_75_lag,Hrs_Below_50_lag,Hrs_Between_50_86_lag,Avg_HourlyDryBulbTemp_lag,Avg_HourlyWetBulbTemp_lag,Hrs_Below_50_current,Avg_HourlyRelativeHumidity_current,Avg_HourlyWetBulbTemperature_current,Avg_HourlyWindSpeed_current,None.x,D0.x,D1.x,D2.x,D3.x,D4.x,DSCI_fema,None.y,D0.y,D1.y,D2.y,D3.y,D4.y,DSCI_ma,average_daylight_hours,Average_MEL,Total_MEL,Total_All,MEL_Prop
2016-32,38,1,812,1.2315270935960592,83.71428571428571,0.32,2016-31,48,74,0,293,65.46644295302015,61.077181208053695,0,80.74394463667821,69.0657439446367,4.391003460207618,32.54,67.46,34,13.17,0.46,0,115.09,0,100,100,0,0,0,200,14.022380952381,3.2857142857142865,46,1372,0.03352769679300291
2016-33,41,1,1198,0.8347245409015025,89.28571428571429,0.68,2016-32,84,159,0,258,73.85467128027685,69.0657439446367,0,72.68115942028984,67.26570048309179,4.621359223300971,32.54,67.46,34,12.65,2.69,0,116.8,0,100,100,0,0,0,200,13.734880952381,1.923076923076923,29,1269,0.02285263987391646
2016-34,25,1,426,2.347417840375587,87.57142857142857,0,2016-33,79,119,0,196,74.08695652173913,67.26570048309179,4,75.05286343612336,65.19383259911895,4.348017621145374,35.19,64.81,30.77,13.62,2.69,0,111.89,0,100,100,2.72,0,0,202.72,13.4338492063492,3.692307692307692,55,687,0.08005822416302766
2016-35,29,2,435,4.597701149425287,86.14285714285714,0.42000000000000004,2016-34,49,93,4,212,71.27753303964758,65.19383259911895,0,81.910780669145,61.65055762081785,2.6828358208955247,35.16,64.84,31.04,14.22,4.08,0,114.18,0,100,100,100,0,0,300,13.1229365079365,2.2142857142857144,37,526,0.07034220532319392
2016-36,27,3,516,5.813953488372093,80.28571428571429,0.2,2016-35,23,47,0,263,65.74721189591077,61.65055762081785,0,83.90492957746478,67.69718309859155,5.767605633802818,33.76,66.24,32.54,16.96,4.57,0,120.31,0,100,100,100,0,0,300,12.8050396825397,5.9,103,652,0.1579754601226994
2016-37,18,0,328,0,82.85714285714286,0.64,2016-36,28,60,0,278,71.27816901408453,67.69718309859155,92,77.76,54.736000000000004,3.5180722891566254,28.86,71.14,46.18,25.72,9.6,0,152.64,0,100,100,100,7.08,0,307.08,12.4825396825397,0.8181818181818181,21,408,0.05147058823529411
2016-38,19,0,501,0,79.28571428571429,0,2016-37,18,44,92,156,59.48,54.736000000000004,29,84.18068535825545,58.54517133956382,1.9499999999999997,28.86,71.14,46.18,25.72,9.6,0,152.64,0,100,100,100,7.08,0,307.08,12.1575793650794,2.4444444444444446,22,276,0.07971014492753623
2017-23,7,0,156,0,68.57142857142857,1.15,2017-22,0,3,64,248,55.78846153846153,52.83974358974359,40,77.44999999999997,53.64166666666667,5.375,100,0,0,0,0,0,0,100,0,0,0,0,0,0,-8.86265873015873,6.571428571428572,122,541,0.2255083179297597
2017-24,28,0,900,0,72.57142857142857,0.8300000000000001,2017-23,19,27,40,200,58.47499999999999,53.64166666666667,19,77.1015625,62.828125,4.717647058823529,100,0,0,0,0,0,0,100,0,0,0,0,0,0,-8.7934126984127,12.7,164,5251,0.03123214625785564
2017-25,38,0,1181,0,82,0.27,2017-24,28,53,19,218,68.11328125,62.828125,0,74.36714975845409,66.3671497584541,7.628019323671496,100,0,0,0,0,0,0,100,0,0,0,0,0,0,-8.77607142857143,5.538461538461538,167,2166,0.07710064635272391
2017-26,40,0,980,0,83.85714285714286,0,2017-25,39,72,0,206,72.40096618357488,66.3671497584541,1,72.25628140703516,63.87939698492464,6.763819095477391,98.24,1.76,0,0,0,0,1.76,100,0,0,0,0,0,0,-8.81154761904762,4.5,70,1973,0.03547896604156107
2017-27,43,1,1457,0.6863417982155113,81.71428571428571,0.13999999999999999,2017-26,20,56,1,192,70.19095477386935,63.87939698492464,4,78.79347826086958,61.384057971014485,3.214545454545452,98.24,1.76,0,0,0,0,1.76,100,0,0,0,0,0,0,-8.89789682539683,3,32,1681,0.01903628792385485
2017-28,67,0,2258,0,83,1.51,2017-27,47,67,4,267,66.3731884057971,61.384057971014485,0,84.51827242524917,65.98006644518273,3.336700336700336,98.24,1.76,0,0,0,0,1.76,100,0,0,0,0,0,0,-9.03166666666667,8,131,3889,0.03368475186423245
2017-29,81,0,2824,0,80.28571428571429,1.27,2017-28,35,62,0,300,69.36877076411959,65.98006644518273,0,81.19791666666669,67.14236111111111,2.7212543554006965,95.77,4.23,0,0,0,0,4.23,100,0,0,0,0,0,0,-9.2075,27.785714285714285,445,3696,0.1204004329004329
2017-30,63,0,1760,0,86.14285714285714,0.05,2017-29,56,95,0,270,71.64930555555556,67.14236111111111,29,83.52059925093631,58.38576779026218,3.5075187969924797,81.74,18.26,0,0,0,0,18.26,100,0,0,0,0,0,0,-9.41956349206349,15.117647058823527,335,2375,0.14105263157894735
2017-31,74,2,2424,0.8250825082508251,74.42857142857143,0.5,2017-30,9,25,29,238,61.76029962546816,58.38576779026218,19,78.45882352941177,64.49803921568628,3.8543307086614136,71.31,28.69,4.87,0,0,0,33.56,100,0,0,0,0,0,0,-2.80440476190476,15.266666666666667,319,3857,0.08270676691729323
2017-32,77,1,2331,0.429000429000429,84.57142857142857,0.09000000000000001,2017-31,34,77,19,232,69.44313725490196,64.49803921568628,0,81.10071942446044,61.687050359712245,2.5827338129496393,69.15,30.85,8.23,0,0,0,39.08,100,0,0,0,0,0,0,14.0725,25.71428571428571,480,3094,0.15513897866839044
2017-33,58,3,1656,1.8115942028985508,82,0.31,2017-32,30,51,0,278,65.95323741007195,61.687050359712245,2,81.68728522336771,64.5876288659794,3.1379310344827562,67.23,32.77,14.97,0,0,0,47.74,99.89,0.11,0,0,0,0,0.11,13.7876587301587,20.666666666666664,375,2108,0.17789373814041745
2017-34,56,2,1359,1.471670345842531,84.57142857142857,0.46,2017-33,40,83,2,286,68.82817869415808,64.5876288659794,82,82.18429003021147,56.18731117824776,2.5558912386706942,67.23,32.77,14.97,0,0,0,47.74,99.89,0.11,0,0,0,0,0.11,13.4888095238095,17.78571428571429,338,1764,0.19160997732426305
2017-35,34,1,614,1.6286644951140066,82.57142857142857,0,2017-34,29,74,82,248,60.202416918429016,56.18731117824776,113,81.3851590106007,51.82685512367491,2.964664310954058,61.71,38.29,14.32,0,0,0,52.61,99.89,0.11,0,0,0,0,0.11,13.1794841269841,6.066666666666668,186,766,0.24281984334203657
2017-36,34,2,884,2.2624434389140275,73.28571428571429,0.52,2017-35,2,10,113,170,55.48056537102473,51.82685512367491,32,80.25700934579439,58.53271028037381,4.841121495327095,61.79,38.21,14.32,0,0,0,52.53,99.89,0.11,0,0,0,0,0.11,12.862619047619,21.799999999999997,490,967,0.5067218200620476
2017-37,27,3,471,6.369426751592357,75.33333333333333,0.55,2017-36,2,13,32,182,62.53271028037381,58.53271028037381,65,83.64666666666668,58.74666666666667,1.899999999999999,73.21,26.79,12.21,0,0,0,39,99.89,0.11,0,0,0,0,0.11,12.5408333333333,7.769230769230769,160,620,0.25806451612903225
2017-38,16,0,514,0,83,0.07,2017-37,27,53,65,235,62.36333333333333,58.74666666666667,0,88.55223880597015,62.4179104477612,6.939939939939936,73.21,26.79,12.21,0,0,0,39,99.89,0.11,0,0,0,0,0.11,12.2161507936508,22.81818181818182,320,524,0.6106870229007634
2017-39,25,1,486,2.05761316872428,72.28571428571429,2.96,2017-38,7,11,0,334,64.68656716417911,62.4179104477612,69,84.03603603603602,58.50450450450452,1.9728096676737166,63.11,36.89,12.21,0,0,0,49.1,100,0,0,0,0,0,0,11.8903968253968,35.625,348,591,0.5888324873096447
2017-40,3,0,25,0,76.71428571428571,0.91,2017-39,26,48,69,264,61.756756756756786,58.50450450450452,89,83.2448275862069,55.25862068965521,3.8862068965517347,19.42,80.58,12.21,0,0,0,92.79,100,0,0,0,0,0,0,11.5655158730159,4,24,63,0.380952380952381
2018-23,9,0,202,0,77.42857142857143,0.08,2018-22,19,54,12,277,63.147766323024065,59.463917525773205,10,81.19014084507043,54.38028169014083,3.595588235294119,78.99,21.01,0,0,0,0,21.01,100,0,0,0,0,0,0,-8.88055555555555,25.571428571428573,203,488,0.41598360655737704
2018-24,24,0,748,0,72.14285714285714,1.37,2018-23,8,17,10,274,58.28169014084508,54.38028169014083,7,69.03980099502488,58.54228855721393,5.649999999999997,78.99,21.01,0,0,0,0,21.01,100,0,0,0,0,0,0,-8.80206349206349,22.333333333333336,336,2737,0.12276214833759592
2018-25,61,0,2037,0,78.28571428571429,0,2018-24,22,30,7,190,65.49751243781094,58.54228855721393,5,79.04453441295544,60.83400809716599,3.879166666666668,42.45,57.55,0,0,0,0,57.55,100,0,0,0,0,0,0,-8.77531746031746,54.45454545454546,645,3684,0.1750814332247557
2018-26,54,0,1861,0,80.14285714285714,0.36,2018-25,27,53,5,242,65.51417004048582,60.83400809716599,32,81.0212765957447,64.37588652482269,4.143884892086329,42.45,57.55,18.19,0,0,0,75.74,100,0,0,0,0,0,0,-8.80142857142857,66.41666666666666,833,2662,0.31292261457550713
2018-27,70,0,2597,0,83.71428571428571,1.44,2018-26,37,53,32,228,68.78368794326241,64.37588652482269,0,75.16444444444444,69.24444444444445,4.716216216216217,41.9,58.1,18.19,0,0,0,76.29,100,0,0,0,0,0,0,-8.87876984126984,33.8,387,4846,0.07985967808501858
2018-28,54,0,1984,0,88.14285714285714,1.16,2018-27,70,120,0,192,75.31555555555556,69.24444444444445,0,73.66945606694561,62.54811715481171,3.1722689075630264,37.6,62.4,20.4,0,0,0,82.8,100,0,0,0,0,0,0,-9.0043253968254,31,409,5640,0.0725177304964539
2018-29,58,0,1794,0,85.28571428571429,0.02,2018-28,50,83,0,230,68.83263598326361,62.54811715481171,16,82.08024691358025,63.993827160493815,3.7120743034055694,33.72,66.28,27.32,0,0,0,93.6,100,0,0,0,0,0,0,-9.17309523809524,50.66666666666667,629,4128,0.15237403100775193
2018-30,53,1,1734,0.5767012687427913,85.14285714285714,0.55,2018-29,53,108,16,299,68.22530864197532,63.993827160493815,0,81.07903780068729,72.09278350515464,6.162068965517244,38.32,61.68,19,0,0,0,80.68,100,0,0,0,0,0,0,-9.37904761904762,44.6923076923077,625,3104,0.20135309278350516
2018-31,47,1,1318,0.7587253414264037,87.28571428571429,0.24,2018-30,93,211,0,281,76.6701030927835,72.09278350515464,0,83.12,69.91384615384614,4.181538461538464,46.32,53.68,14.06,0,0,0,67.74,0,100,0,0,0,0,100,-6.18738095238095,21.909090909090914,295,2689,0.10970621048716996
2018-32,68,9,1979,4.547751389590703,89,1.29,2018-31,75,171,0,299,73.98461538461538,69.91384615384614,0,83.74183006535947,71.56535947712419,3.5986842105263164,54.76,45.24,11.01,0,0,0,56.25,0,100,0,0,0,0,100,14.1218253968254,46.58333333333333,592,2915,0.2030874785591767
