week_num,Total_MEL,Total_All,MEL_Prop
2007-19,0,0,NA
2007-21,124,223,0.5560538116591929
2007-22,281,349,0.8051575931232091
2007-23,1652,3331,0.4959471630141099
2007-24,500,659,0.7587253414264037
2007-25,998,2500,0.3992
2007-26,410,4246,0.09656146961846444
2007-27,302,2336,0.1292808219178082
2007-28,928,3190,0.2909090909090909
2007-29,1507,4598,0.3277511961722488
2007-30,638,3087,0.20667314544865564
2007-31,1170,2692,0.4346210995542348
2007-32,843,2226,0.37870619946091644
2007-33,730,2307,0.3164282618118769
2007-34,391,1633,0.23943661971830985
2007-35,552,1474,0.37449118046132973
2007-36,181,622,0.2909967845659164
2007-37,286,717,0.398884239888424
2007-38,196,373,0.5254691689008043
2007-39,160,335,0.47761194029850745
2007-40,128,160,0.8
2007-41,189,189,1
2008-23,217,1620,0.1339506172839506
2008-24,392,2594,0.15111796453353893
2008-25,205,1449,0.1414768806073154
2008-26,383,2987,0.12822229661868095
2008-27,601,3662,0.1641179683233206
2008-28,253,4245,0.059599528857479385
2008-29,81,2551,0.031752254018032146
2008-30,133,1438,0.09248956884561892
2008-31,124,1055,0.11753554502369669
2008-32,157,2599,0.06040784917275875
2008-33,224,2566,0.08729540140296181
2008-34,176,2128,0.08270676691729323
2008-35,202,1909,0.10581456259821896
2008-36,273,1410,0.19361702127659575
2008-37,313,1079,0.29008341056533826
2008-38,317,1671,0.18970676241771395
2008-39,202,334,0.6047904191616766
2008-40,167,662,0.25226586102719034
2008-41,49,141,0.3475177304964539
2008-42,8,8,1
2009-23,287,1520,0.18881578947368421
2009-24,330,783,0.421455938697318
2009-25,150,1061,0.1413760603204524
2009-26,251,870,0.2885057471264368
2009-27,219,2740,0.07992700729927008
2009-28,173,1391,0.12437095614665708
2009-29,606,2786,0.21751615218951903
2009-30,1392,5099,0.27299470484408705
2009-31,590,2382,0.24769101595298068
2009-32,915,4669,0.19597344185050333
2009-33,1555,4427,0.35125367065733004
2009-34,1587,9014,0.17605946305746617
2009-35,1856,3871,0.4794626711444071
2009-36,1341,2850,0.4705263157894737
2009-37,776,1438,0.5396383866481224
2009-38,1284,2580,0.49767441860465117
2009-39,1252,2165,0.5782909930715935
2009-40,1398,2501,0.5589764094362255
2009-41,223,530,0.4207547169811321
2010-18,67,91,0.7362637362637363
2010-20,222,362,0.6132596685082873
2010-21,204,241,0.8464730290456431
2010-22,1226,4623,0.26519576032879083
2010-23,188,191,0.9842931937172775
2010-24,617,1037,0.5949855351976856
2010-25,972,1830,0.5311475409836065
2010-26,497,2936,0.16927792915531334
2010-27,440,2299,0.19138755980861244
2010-28,680,1493,0.4554588077695914
2010-29,410,1340,0.30597014925373134
2010-30,237,992,0.23891129032258066
2010-31,552,2518,0.2192216044479746
2010-32,463,1588,0.29156171284634763
2010-33,402,1081,0.37187789084181316
2010-34,452,756,0.5978835978835979
2010-35,357,1188,0.3005050505050505
2010-36,163,433,0.37644341801385683
2010-37,121,385,0.3142857142857143
2010-38,153,678,0.22566371681415928
2010-39,63,399,0.15789473684210525
2010-40,23,29,0.7931034482758621
2011-19,9,163,0.05521472392638037
2011-21,234,1624,0.1440886699507389
2011-22,10,602,0.016611295681063124
2011-23,848,4642,0.1826798793623438
2011-24,418,944,0.4427966101694915
2011-25,1414,3772,0.37486744432661717
2011-26,994,2938,0.33832539142273654
2011-27,305,2669,0.11427500936680404
2011-28,318,1583,0.20088439671509792
2011-29,1009,2429,0.4153972828324413
2011-30,493,1682,0.29310344827586204
2011-31,789,2090,0.377511961722488
2011-32,1385,2847,0.4864769933263084
2011-33,559,1182,0.47292724196277497
2011-34,553,2050,0.2697560975609756
2011-35,519,2002,0.25924075924075923
2011-36,1194,2741,0.43560744253921924
2011-37,698,1891,0.36911686938127974
2011-38,351,1011,0.34718100890207715
2011-39,867,2365,0.36659619450317127
