"MapDate","RegionName","None","D0","D1","D2","D3","D4","ValidStart","ValidEnd","StatisticFormatID","week_num","DSCI_fema"
2022-03-22,"I",66.83,33.17,3.7,2.09,0,0,2022-03-22,2022-03-28,1,"2022-12",38.96
2022-03-22,"II",78.76,21.24,3.71,0,0,0,2022-03-22,2022-03-28,1,"2022-12",24.95
2022-03-22,"III",66.19,33.81,1.56,0,0,0,2022-03-22,2022-03-28,1,"2022-12",35.37
2022-03-22,"IV",62.23,37.77,17.06,2.4,0.29,0,2022-03-22,2022-03-28,1,"2022-12",57.52
2022-03-15,"I",65.02,34.98,3.7,2.09,0,0,2022-03-15,2022-03-21,1,"2022-11",40.77
2022-03-15,"II",85.52,14.48,3.71,0,0,0,2022-03-15,2022-03-21,1,"2022-11",18.19
2022-03-15,"III",67.66,32.34,0.96,0,0,0,2022-03-15,2022-03-21,1,"2022-11",33.3
2022-03-15,"IV",52.81,47.19,24.34,2.51,0.37,0,2022-03-15,2022-03-21,1,"2022-11",74.41
2022-03-08,"I",65.02,34.98,6.32,2.64,0,0,2022-03-08,2022-03-14,1,"2022-10",43.94
2022-03-08,"II",84.07,15.93,3.71,0,0,0,2022-03-08,2022-03-14,1,"2022-10",19.64
2022-03-08,"III",67.65,32.35,0.97,0,0,0,2022-03-08,2022-03-14,1,"2022-10",33.32
2022-03-08,"IV",45.95,54.05,25.65,3.83,0.74,0,2022-03-08,2022-03-14,1,"2022-10",84.27
2022-03-01,"I",65.02,34.98,6.32,2.64,0,0,2022-03-01,2022-03-07,1,"2022-09",43.94
2022-03-01,"II",87.64,12.36,0.27,0,0,0,2022-03-01,2022-03-07,1,"2022-09",12.63
2022-03-01,"III",89.07,10.93,0,0,0,0,2022-03-01,2022-03-07,1,"2022-09",10.93
2022-03-01,"IV",56.09,43.91,15.08,2.53,0.01,0,2022-03-01,2022-03-07,1,"2022-09",61.53
2022-02-22,"I",64.24,35.76,6.32,2.64,0,0,2022-02-22,2022-02-28,1,"2022-08",44.72
2022-02-22,"II",87.67,12.33,0.04,0,0,0,2022-02-22,2022-02-28,1,"2022-08",12.37
2022-02-22,"III",89.43,10.57,0,0,0,0,2022-02-22,2022-02-28,1,"2022-08",10.57
2022-02-22,"IV",59.48,40.52,10.65,2.68,0.24,0,2022-02-22,2022-02-28,1,"2022-08",54.09
2022-02-15,"I",64.24,35.76,6.32,2.64,0,0,2022-02-15,2022-02-21,1,"2022-07",44.72
2022-02-15,"II",87.67,12.33,0.04,0,0,0,2022-02-15,2022-02-21,1,"2022-07",12.37
2022-02-15,"III",92.67,7.33,0,0,0,0,2022-02-15,2022-02-21,1,"2022-07",7.33
2022-02-15,"IV",67.89,32.11,6.29,3.04,0.24,0,2022-02-15,2022-02-21,1,"2022-07",41.68
2022-02-08,"I",64.24,35.76,6.32,2.64,0,0,2022-02-08,2022-02-14,1,"2022-06",44.72
2022-02-08,"II",87.49,12.51,0.19,0,0,0,2022-02-08,2022-02-14,1,"2022-06",12.7
2022-02-08,"III",91.14,8.86,0,0,0,0,2022-02-08,2022-02-14,1,"2022-06",8.86
2022-02-08,"IV",72.37,27.63,6.03,1.83,0.01,0,2022-02-08,2022-02-14,1,"2022-06",35.5
2022-02-01,"I",64.24,35.76,6.32,2.64,0,0,2022-02-01,2022-02-07,1,"2022-05",44.72
2022-02-01,"II",85.05,14.95,2.25,0.27,0,0,2022-02-01,2022-02-07,1,"2022-05",17.47
2022-02-01,"III",80.77,19.23,1.55,0,0,0,2022-02-01,2022-02-07,1,"2022-05",20.78
2022-02-01,"IV",68.34,31.66,9.11,1.8,0.01,0,2022-02-01,2022-02-07,1,"2022-05",42.58
2022-01-25,"I",80.86,19.14,6.32,2.64,0,0,2022-01-25,2022-01-31,1,"2022-04",28.1
2022-01-25,"II",92.96,7.04,1.49,0,0,0,2022-01-25,2022-01-31,1,"2022-04",8.53
2022-01-25,"III",81.66,18.34,1.55,0,0,0,2022-01-25,2022-01-31,1,"2022-04",19.89
2022-01-25,"IV",71.02,28.98,8.76,1.8,0.01,0,2022-01-25,2022-01-31,1,"2022-04",39.55
2022-01-18,"I",80.86,19.14,6.32,2.64,0,0,2022-01-18,2022-01-24,1,"2022-03",28.1
2022-01-18,"II",92.9,7.1,1.49,0,0,0,2022-01-18,2022-01-24,1,"2022-03",8.59
2022-01-18,"III",73.92,26.08,2.43,0,0,0,2022-01-18,2022-01-24,1,"2022-03",28.51
2022-01-18,"IV",67.74,32.26,10.6,2.09,0.03,0,2022-01-18,2022-01-24,1,"2022-03",44.98
2022-01-11,"I",80.86,19.14,6.32,2.64,0,0,2022-01-11,2022-01-17,1,"2022-02",28.1
2022-01-11,"II",91.57,8.43,1.62,0,0,0,2022-01-11,2022-01-17,1,"2022-02",10.05
2022-01-11,"III",67.12,32.88,3.51,0,0,0,2022-01-11,2022-01-17,1,"2022-02",36.39
2022-01-11,"IV",62.75,37.25,15.63,2.04,0.03,0,2022-01-11,2022-01-17,1,"2022-02",54.95
2022-01-04,"I",80.86,19.14,6.32,2.64,0,0,2022-01-04,2022-01-10,1,"2022-01",28.1
2022-01-04,"II",91.53,8.47,1.62,0,0,0,2022-01-04,2022-01-10,1,"2022-01",10.09
2022-01-04,"III",58.97,41.03,4.45,0,0,0,2022-01-04,2022-01-10,1,"2022-01",45.48
2022-01-04,"IV",63.49,36.51,15.74,2.88,0.17,0,2022-01-04,2022-01-10,1,"2022-01",55.3
2021-12-28,"I",80.86,19.14,6.32,2.64,0,0,2021-12-28,2022-01-03,1,"2021-52",28.1
2021-12-28,"II",91.53,8.47,1.62,0,0,0,2021-12-28,2022-01-03,1,"2021-52",10.09
2021-12-28,"III",44.1,55.9,21.77,2.12,0,0,2021-12-28,2022-01-03,1,"2021-52",79.79
2021-12-28,"IV",51.89,48.11,17.05,7.55,0,0,2021-12-28,2022-01-03,1,"2021-52",72.71
2021-12-21,"I",80.86,19.14,6.32,2.64,0,0,2021-12-21,2021-12-27,1,"2021-51",28.1
2021-12-21,"II",91.53,8.47,1.62,0,0,0,2021-12-21,2021-12-27,1,"2021-51",10.09
2021-12-21,"III",44.1,55.9,15.5,2.12,0,0,2021-12-21,2021-12-27,1,"2021-51",73.52
2021-12-21,"IV",58.18,41.82,17.05,7.55,0,0,2021-12-21,2021-12-27,1,"2021-51",66.42
2021-12-14,"I",80.86,19.14,6.32,2.64,0,0,2021-12-14,2021-12-20,1,"2021-50",28.1
2021-12-14,"II",93.9,6.1,1.62,0,0,0,2021-12-14,2021-12-20,1,"2021-50",7.72
2021-12-14,"III",51.46,48.54,8.56,1.67,0,0,2021-12-14,2021-12-20,1,"2021-50",58.77
2021-12-14,"IV",46.57,53.43,17.05,7.55,0,0,2021-12-14,2021-12-20,1,"2021-50",78.03
2021-12-07,"I",80.86,19.14,6.32,2.64,0,0,2021-12-07,2021-12-13,1,"2021-49",28.1
2021-12-07,"II",95.28,4.72,1.62,0,0,0,2021-12-07,2021-12-13,1,"2021-49",6.34
2021-12-07,"III",66.32,33.68,7.23,1.67,0,0,2021-12-07,2021-12-13,1,"2021-49",42.58
2021-12-07,"IV",49.95,50.05,19.16,9.3,0,0,2021-12-07,2021-12-13,1,"2021-49",78.51
2021-11-30,"I",80.86,19.14,6.32,2.64,0,0,2021-11-30,2021-12-06,1,"2021-48",28.1
2021-11-30,"II",96.03,3.97,1.67,0,0,0,2021-11-30,2021-12-06,1,"2021-48",5.64
2021-11-30,"III",76.01,23.99,4.67,1.05,0,0,2021-11-30,2021-12-06,1,"2021-48",29.71
2021-11-30,"IV",62.15,37.85,13.94,3.34,0,0,2021-11-30,2021-12-06,1,"2021-48",55.13
2021-11-23,"I",80.86,19.14,6.32,2.64,0,0,2021-11-23,2021-11-29,1,"2021-47",28.1
2021-11-23,"II",96.03,3.97,0.31,0,0,0,2021-11-23,2021-11-29,1,"2021-47",4.28
2021-11-23,"III",83.24,16.76,3.95,0,0,0,2021-11-23,2021-11-29,1,"2021-47",20.71
2021-11-23,"IV",72.48,27.52,10.05,0,0,0,2021-11-23,2021-11-29,1,"2021-47",37.57
2021-11-16,"I",80.86,19.14,6.32,2.64,0,0,2021-11-16,2021-11-22,1,"2021-46",28.1
2021-11-16,"II",97.53,2.47,0.31,0,0,0,2021-11-16,2021-11-22,1,"2021-46",2.78
2021-11-16,"III",88.14,11.86,2.21,0,0,0,2021-11-16,2021-11-22,1,"2021-46",14.07
2021-11-16,"IV",80.6,19.4,7.44,0,0,0,2021-11-16,2021-11-22,1,"2021-46",26.84
2021-11-09,"I",80.86,19.14,6.32,2.64,0,0,2021-11-09,2021-11-15,1,"2021-45",28.1
2021-11-09,"II",97.87,2.13,0.1,0,0,0,2021-11-09,2021-11-15,1,"2021-45",2.23
2021-11-09,"III",91.25,8.75,0.53,0,0,0,2021-11-09,2021-11-15,1,"2021-45",9.28
2021-11-09,"IV",84.98,15.02,4.74,0,0,0,2021-11-09,2021-11-15,1,"2021-45",19.76
2021-11-02,"I",80.86,19.14,6.32,3.32,0,0,2021-11-02,2021-11-08,1,"2021-44",28.78
2021-11-02,"II",97.87,2.13,0.1,0,0,0,2021-11-02,2021-11-08,1,"2021-44",2.23
2021-11-02,"III",94.15,5.85,0.35,0,0,0,2021-11-02,2021-11-08,1,"2021-44",6.2
2021-11-02,"IV",83.77,16.23,3.64,0,0,0,2021-11-02,2021-11-08,1,"2021-44",19.87
2021-10-26,"I",71.19,28.81,9.11,3.32,0,0,2021-10-26,2021-11-01,1,"2021-43",41.24
2021-10-26,"II",90.94,9.06,0.07,0,0,0,2021-10-26,2021-11-01,1,"2021-43",9.13
2021-10-26,"III",92.42,7.58,0,0,0,0,2021-10-26,2021-11-01,1,"2021-43",7.58
2021-10-26,"IV",82.24,17.76,0.84,0,0,0,2021-10-26,2021-11-01,1,"2021-43",18.6
2021-10-19,"I",71.19,28.81,9.11,3.32,0,0,2021-10-19,2021-10-25,1,"2021-42",41.24
2021-10-19,"II",90.94,9.06,0.07,0,0,0,2021-10-19,2021-10-25,1,"2021-42",9.13
2021-10-19,"III",93.32,6.68,0,0,0,0,2021-10-19,2021-10-25,1,"2021-42",6.68
2021-10-19,"IV",91.85,8.15,0,0,0,0,2021-10-19,2021-10-25,1,"2021-42",8.15
2021-10-12,"I",69.78,30.22,9.34,3.32,0,0,2021-10-12,2021-10-18,1,"2021-41",42.88
2021-10-12,"II",87.68,12.32,0.67,0,0,0,2021-10-12,2021-10-18,1,"2021-41",12.99
2021-10-12,"III",93.32,6.68,0,0,0,0,2021-10-12,2021-10-18,1,"2021-41",6.68
2021-10-12,"IV",93.21,6.79,0,0,0,0,2021-10-12,2021-10-18,1,"2021-41",6.79
2021-10-05,"I",74.65,25.35,9.34,2.47,0,0,2021-10-05,2021-10-11,1,"2021-40",37.16
2021-10-05,"II",91.66,8.34,0.68,0,0,0,2021-10-05,2021-10-11,1,"2021-40",9.02
2021-10-05,"III",95.44,4.56,0,0,0,0,2021-10-05,2021-10-11,1,"2021-40",4.56
2021-10-05,"IV",92.78,7.22,0,0,0,0,2021-10-05,2021-10-11,1,"2021-40",7.22
2021-09-28,"I",74.62,25.38,9.75,2.47,0,0,2021-09-28,2021-10-04,1,"2021-39",37.6
2021-09-28,"II",93.56,6.44,0.68,0,0,0,2021-09-28,2021-10-04,1,"2021-39",7.12
2021-09-28,"III",97.45,2.55,0,0,0,0,2021-09-28,2021-10-04,1,"2021-39",2.55
2021-09-28,"IV",98.43,1.57,0,0,0,0,2021-09-28,2021-10-04,1,"2021-39",1.57
2021-09-21,"I",64.16,35.84,18.07,2.47,0,0,2021-09-21,2021-09-27,1,"2021-38",56.38
2021-09-21,"II",93.31,6.69,0.95,0,0,0,2021-09-21,2021-09-27,1,"2021-38",7.64
2021-09-21,"III",94.85,5.15,0,0,0,0,2021-09-21,2021-09-27,1,"2021-38",5.15
2021-09-21,"IV",95.83,4.17,0,0,0,0,2021-09-21,2021-09-27,1,"2021-38",4.17
2021-09-14,"I",61.64,38.36,18.87,2.47,0,0,2021-09-14,2021-09-20,1,"2021-37",59.7
2021-09-14,"II",92.46,7.54,0.95,0,0,0,2021-09-14,2021-09-20,1,"2021-37",8.49
2021-09-14,"III",94.85,5.15,0,0,0,0,2021-09-14,2021-09-20,1,"2021-37",5.15
2021-09-14,"IV",94.38,5.62,0,0,0,0,2021-09-14,2021-09-20,1,"2021-37",5.62
2021-09-07,"I",57.87,42.13,31.72,4.64,0,0,2021-09-07,2021-09-13,1,"2021-36",78.49
2021-09-07,"II",91.26,8.74,1.87,0,0,0,2021-09-07,2021-09-13,1,"2021-36",10.61
2021-09-07,"III",94.68,5.32,0,0,0,0,2021-09-07,2021-09-13,1,"2021-36",5.32
2021-09-07,"IV",95.09,4.91,0,0,0,0,2021-09-07,2021-09-13,1,"2021-36",4.91
2021-08-31,"I",51.26,48.74,31.91,4.76,0,0,2021-08-31,2021-09-06,1,"2021-35",85.41
2021-08-31,"II",92.01,7.99,1.16,0,0,0,2021-08-31,2021-09-06,1,"2021-35",9.15
2021-08-31,"III",81.47,18.53,4.16,0,0,0,2021-08-31,2021-09-06,1,"2021-35",22.69
2021-08-31,"IV",99.03,0.97,0,0,0,0,2021-08-31,2021-09-06,1,"2021-35",0.97
2021-08-24,"I",51.26,48.74,27.12,4.76,0,0,2021-08-24,2021-08-30,1,"2021-34",80.62
2021-08-24,"II",94.22,5.78,1.16,0,0,0,2021-08-24,2021-08-30,1,"2021-34",6.94
2021-08-24,"III",80.31,19.69,4.48,0,0,0,2021-08-24,2021-08-30,1,"2021-34",24.17
2021-08-24,"IV",98.42,1.58,0,0,0,0,2021-08-24,2021-08-30,1,"2021-34",1.58
2021-08-17,"I",51.26,48.74,27.12,4.64,0,0,2021-08-17,2021-08-23,1,"2021-33",80.5
2021-08-17,"II",94.17,5.83,1.16,0,0,0,2021-08-17,2021-08-23,1,"2021-33",6.99
2021-08-17,"III",60.83,39.17,8.14,0,0,0,2021-08-17,2021-08-23,1,"2021-33",47.31
