week_num,Hrs_Below_50_current,Avg_HourlyRelativeHumidity_current,Avg_HourlyWetBulbTemperature_current,Avg_HourlyWindSpeed_current
2006-01,283,87.50530035335689,30.886925795053003,3.96113074204947
2006-02,161,85.16494845360825,41.7319587628866,8.426116838487973
2006-03,149,62.596774193548384,34.22043010752688,10.489247311827956
2006-04,249,76.5361216730038,32.16030534351145,5.307984790874524
2006-05,273,89.61702127659575,40.176829268292686,7.173252279635259
2006-06,216,61.513888888888886,23.5,9.99537037037037
2006-07,169,61.73096446700507,28.6974358974359,8.421319796954315
2006-08,204,63.80392156862745,23.955882352941178,6.303921568627451
2006-09,199,53.47738693467337,21.57286432160804,8.075376884422111
2006-10,148,70.74193548387096,36.016129032258064,5.655913978494624
2006-11,164,60.62135922330097,35.116504854368934,8.388349514563107
2006-12,187,60.85204081632653,31.785714285714285,6.362244897959184
2006-13,105,61.09090909090909,38.0959595959596,5.4646464646464645
2006-14,180,76.31739130434782,38.22608695652174,6.860869565217391
2006-15,96,72.2051282051282,44.333333333333336,5.662393162393163
2006-16,113,62.86243386243386,42.62433862433863,7.116402116402116
2006-17,111,61.93922651933702,41.608938547486034,6.320441988950276
2006-18,123,75.24888888888889,48.08444444444444,7.88
2006-19,123,89.4874213836478,49.166666666666664,7.559748427672956
2006-20,14,81.98069498069498,53.04280155642024,7.347490347490347
2006-21,63,76.34765625,54.0625,4.3203125
2006-22,0,87.2140350877193,59.32631578947368,5.4526315789473685
2006-23,0,87.87425149700599,56.249249249249246,6.323353293413174
2006-24,0,76.28378378378379,60.46606334841629,3.954954954954955
2006-25,0,86.02173913043478,65.9968944099379,4.090342679127726
2006-26,0,81.59677419354838,68.14516129032258,8.286290322580646
2006-27,0,78.44796380090497,65.83710407239819,3.819004524886878
2006-28,0,83.64338235294117,68.70220588235294,5.536764705882353
2006-29,0,83.43234323432343,70.54125412541254,5.600660066006601
2006-30,0,73.67213114754098,70.1639344262295,7.415300546448087
2006-31,0,78.76603773584905,67.6969696969697,3.328301886792453
2006-32,24,72.05454545454545,60.35159817351598,5.1454545454545455
2006-33,16,83.9673202614379,62.50491803278688,3.5947712418300655
2006-34,5,84.11272727272727,59.21454545454545,3.058181818181818
2006-35,4,87.0223642172524,60.38636363636363,5.424920127795527
2006-36,10,84.38775510204081,57.93055555555556,2.4217687074829932
2006-37,70,84.04198473282443,53.92307692307692,2.6908396946564888
2006-38,41,81.96691176470588,58.22222222222222,5.415441176470588
2006-39,156,85.52753623188406,49.849557522123895,2.794202898550725
2006-40,158,83.64169381107492,47.59934853420195,3.1947194719471947
2006-41,140,79.95,46.982078853046595,3.7285714285714286
2006-42,118,81.48096885813149,47.536332179930795,4.740484429065744
2006-43,119,69.99078341013825,44,8.778801843317972
2006-44,181,77.58527131782945,40.8988326848249,3.251937984496124
2006-45,78,87.14603174603175,49.55555555555556,3.2
2006-46,59,85.18666666666667,53.5,6.24
2006-47,246,80.6969696969697,38.92045454545455,6.238636363636363
2006-48,151,84.75187969924812,45.77735849056604,5.80827067669173
2006-49,173,60.59375,29.460732984293195,7.135416666666667
2006-50,160,79.50434782608696,41.28384279475983,4.869565217391305
2006-51,145,68.81025641025641,38.56701030927835,5.625641025641026
2006-52,253,75.76061776061776,33.04669260700389,4.366141732283465
2007-01,159,77.32302405498282,44.896907216494846,7.848797250859106
2007-02,205,74.62698412698413,38.107142857142854,6.694444444444445
2007-03,267,72.38951310861424,30.47940074906367,5.46067415730337
2007-04,203,61.029556650246306,20.32512315270936,4.078817733990148
2007-05,217,62.45161290322581,24.22222222222222,5.15668202764977
2007-06,168,43.56547619047619,15.94047619047619,8.708333333333334
2007-07,226,57.336283185840706,23.25,9.924778761061948
2007-08,213,62.38425925925926,27.430555555555557,6.152777777777778
2007-09,263,76.71724137931035,33.741379310344826,4.803448275862069
2007-10,167,49.43478260869565,23.206521739130434,8.853260869565217
2007-11,217,73.3103448275862,35.35249042145594,8.988505747126437
2007-12,190,67.58723404255319,35.39148936170213,7.774468085106383
2007-13,170,59.511210762331835,37.2780269058296,5.753363228699552
2007-14,240,71.4875,35.15,7
2007-15,214,69.01716738197425,37.24034334763949,8.639484978540773
2007-16,231,75.15654952076677,41.05111821086262,12.45016077170418
2007-17,135,76.11660777385158,47.54770318021201,3.8268551236749118
2007-18,73,50.1139896373057,44.347150259067355,6.533678756476684
2007-19,43,68.99588477366255,52.547325102880656,5.827160493827161
2007-20,124,77.15822784810126,48.50316455696203,6.660256410256411
2007-21,61,65.34361233480176,53.11453744493392,3.646788990825688
2007-22,14,72.54509803921569,59.2,4.136986301369863
2007-23,6,78.43959731543625,59.56375838926174,5.344202898550725
2007-24,20,73.1094890510949,57.02919708029197,5.865168539325842
2007-25,5,65.74883720930232,60.10697674418605,4.990566037735849
2007-26,0,64.26737967914438,65.91978609625669,5.9502762430939224
2007-27,16,70.36,62.252,5.465587044534413
2007-28,0,73.47014925373135,67.77611940298507,5.015503875968992
2007-29,0,75.21472392638037,66.73926380368098,3.083076923076923
2007-30,0,73.77935943060498,68.29893238434164,3.832740213523132
2007-31,0,72.55430711610487,69.09737827715355,3.1908396946564888
2007-32,0,74.1146953405018,64.3763440860215,3.390681003584229
2007-33,20,74.05535055350553,62.06666666666667,3.449438202247191
2007-34,3,75.11846689895471,61.67482517482517,2.993006993006993
2007-35,36,73.92168674698796,57.97289156626506,1.7710843373493976
2007-36,27,70.9531914893617,59.94042553191489,4.329059829059829
2007-37,109,78.01834862385321,54.31901840490798,2.9388379204892967
