week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Week,Year
2016-25,16,0,322,0,25,2016
2016-26,13,0,412,0,26,2016
2016-27,8,0,165,0,27,2016
2016-28,7,0,179,0,28,2016
2016-29,9,0,261,0,29,2016
2016-30,6,0,84,0,30,2016
2016-31,6,0,112,0,31,2016
2016-32,5,0,44,0,32,2016
2016-33,3,0,63,0,33,2016
2016-34,3,0,40,0,34,2016
2016-35,5,0,31,0,35,2016
2016-36,6,0,58,0,36,2016
2016-38,3,0,21,0,38,2016
2017-23,1,0,46,0,23,2017
2017-24,3,0,113,0,24,2017
2017-25,4,0,63,0,25,2017
2017-26,4,0,49,0,26,2017
2017-27,3,0,22,0,27,2017
2017-28,4,0,78,0,28,2017
2017-29,12,0,425,0,29,2017
2017-30,11,0,255,0,30,2017
2017-31,8,0,234,0,31,2017
2017-32,12,0,355,0,32,2017
2017-33,11,0,304,0,33,2017
2017-34,9,0,289,0,34,2017
2017-35,7,0,121,0,35,2017
2017-36,9,1,365,2.73972602739726,36,2017
2017-37,7,1,102,9.803921568627452,37,2017
2017-38,9,0,394,0,38,2017
2017-39,8,1,281,3.558718861209964,39,2017
2017-40,2,0,16,0,40,2017
2018-23,6,0,171,0,23,2018
2018-24,9,0,257,0,24,2018
2018-25,20,0,776,0,25,2018
2018-26,23,0,1080,0,26,2018
2018-27,13,0,427,0,27,2018
2018-28,12,0,381,0,28,2018
2018-29,15,0,551,0,29,2018
2018-30,15,0,575,0,30,2018
2018-31,10,0,385,0,31,2018
2018-32,16,0,555,0,32,2018
2018-33,22,4,920,4.3478260869565215,33,2018
2018-34,14,3,475,6.315789473684211,34,2018
2018-35,11,0,383,0,35,2018
2018-36,20,3,825,3.6363636363636362,36,2018
2018-37,16,2,569,3.51493848857645,37,2018
2018-38,20,3,867,3.4602076124567476,38,2018
2018-39,4,0,78,0,39,2018
2018-40,7,0,155,0,40,2018
2019-23,9,0,247,0,23,2019
2019-24,27,0,1217,0,24,2019
2019-25,33,0,1557,0,25,2019
2019-26,5,0,163,0,26,2019
2019-27,17,0,812,0,27,2019
2019-28,15,0,533,0,28,2019
2019-29,38,2,1752,1.141552511415525,29,2019
2019-30,66,24,3001,7.997334221926025,30,2019
2019-31,63,31,2877,10.775112964893987,31,2019
2019-32,38,8,1544,5.181347150259067,32,2019
2019-33,37,14,1595,8.77742946708464,33,2019
2019-34,20,6,843,7.117437722419928,34,2019
2019-35,18,4,398,10.050251256281408,35,2019
2019-36,16,3,630,4.761904761904763,36,2019
2019-37,16,3,602,4.983388704318936,37,2019
2019-38,14,2,296,6.756756756756757,38,2019
2019-39,15,0,337,0,39,2019
2019-40,12,2,345,5.797101449275362,40,2019
2019-41,5,1,187,5.347593582887701,41,2019
2020-24,4,0,56,0,24,2020
2020-25,5,0,48,0,25,2020
2020-26,18,0,663,0,26,2020
2020-27,16,0,724,0,27,2020
2020-28,19,0,764,0,28,2020
2020-29,11,0,387,0,29,2020
2020-30,15,0,550,0,30,2020
2020-31,14,0,409,0,31,2020
2020-32,13,0,498,0,32,2020
2020-33,15,0,481,0,33,2020
2020-34,5,0,87,0,34,2020
2020-35,10,0,270,0,35,2020
2020-36,1,0,14,0,36,2020
2020-37,3,1,78,12.82051282051282,37,2020
2020-38,2,0,14,0,38,2020
2021-24,2,0,33,0,24,2021
2021-25,6,0,135,0,25,2021
2021-26,3,0,39,0,26,2021
2021-27,6,0,112,0,27,2021
2021-28,3,0,134,0,28,2021
2021-29,10,0,357,0,29,2021
2021-30,13,0,514,0,30,2021
2021-31,13,0,517,0,31,2021
