Trap Site Address,MCD,Location,DecLat,DecLong
"Gaywood Street, BR",Bristol,Dartmouth: Dartmouth 02747(Bristol),41.631292,-70.958169
"Synagogue- Dartmouth, BR",Bristol,Dartmouth: Dartmouth 02747(Bristol),41.628336,-70.955981
Gaywood Street,Bristol,Dartmouth: Dartmouth 02747(Bristol),41.63202778,-70.95593333
"Koss Avenue, BR",Bristol,Freetown: Freetown 02717(Bristol),41.761081,-70.954186000000007
"St. Johns Cemetery, BR",Bristol,Dartmouth: Dartmouth 02747(Bristol),41.621366,-70.953252
"Saint John's Cemetery, BR",Bristol,Dartmouth: Dartmouth 02748(Bristol),41.623791,-70.951885
Rt 140- Bolton Cedar Swamp,Bristol,Freetown: Freetown unknown(Bristol),41.758331,-70.951873
"Sassaquin Avenue, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.735219,-70.951428
"Bolton Cedar Swamp - West, BR",Bristol,Freetown: Freetown 02717(Bristol),41.753872,-70.950356
"Bolton Cedar Swamp - East, BR",Bristol,Freetown: Freetown 02717(Bristol),41.755356,-70.948697
"Meadow Shores Salt Marsh, BR",Bristol,Dartmouth: Dartmouth 02747(Bristol),41.537222,-70.947005
"Building 19, BR",Bristol,New Bedford: New Bedford 02746(Bristol),41.66206667,-70.94470833
"Durfee Street - New Bedford, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.648908,-70.944294
"Oak Grove Cemetery - New Bedford, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.645669,-70.943355
"Sacred Heart Cemetery, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.665519,-70.943077
"Liberty Street, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.641094,-70.942362
"Clermont Way, BR",Bristol,Freetown: Freetown unknown(Bristol),41.754964,-70.942344
"Timberlane Rd, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.723778,-70.941597
"NBFD #7, BR",Bristol,New Bedford: New Bedford 02746(Bristol),41.65945278,-70.94125556
"Rural Cemetery, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.622062,-70.941166
Council on Aging,Bristol,Dartmouth: Dartmouth 02748(Bristol),41.60659,-70.939805
"Durfee Street & Vine Street, BR",Bristol,New Bedford: New Bedford unknown(Bristol),41.649527,-70.937672
"Acushnet Avenue #3870, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.723723,-70.937619
"Vine Street, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.649805,-70.936814
"Pine Grove Cemetery, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.690266,-70.934691
"Bay Street, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.62562,-70.93275
"Illinois Street, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.682931,-70.931511
"Davis Street - New Bedford, BR",Bristol,New Bedford: New Bedford 02746(Bristol),41.66411667,-70.927725
"BOH- Purchase street, BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.64095556,-70.92728611
"Whitman Street, BR",Bristol,New Bedford: New Bedford 02745(Bristol),41.66735,-70.926277
"Plumber's Supply Co., BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.64633611,-70.92618889
"Whale City Iron- Logan St., BR",Bristol,New Bedford: New Bedford 02740(Bristol),41.65196111,-70.92576667
"Bizzaro's- North Front Street, BR",Bristol,New Bedford: New Bedford 02746(Bristol),41.65749722,-70.92554167
266 North Front St,Bristol,New Bedford: New Bedford 02746(Bristol),41.657523,-70.925372
"Sawyer Street, BR",Bristol,New Bedford: New Bedford 02746(Bristol),41.658065,-70.922198
