"week_num","Hours_Above_80","Hours_Above_75","Hours_Below_50","Avg_HourlyRelativeHumidity","Avg_HourlyWetBulbTemperature","Avg_HourlyWindSpeed","Lagged_week_num"
"2006-01",0,0,283,87.5053003533569,30.886925795053,3.96113074204947,"2005-52"
"2006-02",0,0,161,85.1649484536082,41.7319587628866,8.42611683848796,"2006-01"
"2006-03",0,0,149,62.5967741935484,34.2204301075269,10.489247311828,"2006-02"
"2006-04",0,0,249,76.5361216730038,32.1603053435114,5.30798479087453,"2006-03"
"2006-05",0,0,273,89.6170212765957,40.1768292682927,7.17325227963526,"2006-04"
"2006-06",0,0,216,61.5138888888889,23.5,9.99537037037037,"2006-05"
"2006-07",0,0,169,61.7309644670051,28.6974358974359,8.42131979695431,"2006-06"
"2006-08",0,0,204,63.8039215686274,23.9558823529412,6.30392156862745,"2006-07"
"2006-09",0,0,199,53.4773869346734,21.572864321608,8.07537688442211,"2006-08"
"2006-10",0,0,148,70.741935483871,36.0161290322581,5.65591397849462,"2006-09"
"2006-11",0,0,164,60.621359223301,35.1165048543689,8.3883495145631,"2006-10"
"2006-12",0,0,187,60.8520408163265,31.7857142857143,6.36224489795918,"2006-11"
"2006-13",0,0,105,61.0909090909091,38.0959595959596,5.46464646464646,"2006-12"
"2006-14",0,0,180,76.3173913043478,38.2260869565217,6.86086956521739,"2006-13"
"2006-15",0,0,96,72.2051282051282,44.3333333333333,5.66239316239317,"2006-14"
"2006-16",0,0,113,62.8624338624339,42.6243386243386,7.11640211640212,"2006-15"
"2006-17",0,0,111,61.939226519337,41.608938547486,6.32044198895028,"2006-16"
"2006-18",4,10,123,75.2488888888889,48.0844444444444,7.88,"2006-17"
"2006-19",0,0,123,89.4874213836478,49.1666666666667,7.55974842767295,"2006-18"
"2006-20",0,0,14,81.9806949806949,53.0428015564202,7.34749034749035,"2006-19"
"2006-21",9,23,63,76.34765625,54.0625,4.3203125,"2006-20"
"2006-22",12,28,0,87.2140350877193,59.3263157894737,5.45263157894736,"2006-21"
"2006-23",0,0,0,87.874251497006,56.2492492492492,6.32335329341318,"2006-22"
"2006-24",22,53,0,76.2837837837838,60.4660633484163,3.95495495495495,"2006-23"
"2006-25",23,52,0,86.0217391304348,65.9968944099379,4.09034267912772,"2006-24"
"2006-26",24,77,0,81.5967741935484,68.1451612903226,8.28629032258064,"2006-25"
"2006-27",38,71,0,78.447963800905,65.8371040723982,3.81900452488688,"2006-26"
"2006-28",42,83,0,83.6433823529412,68.7022058823529,5.53676470588236,"2006-27"
"2006-29",44,142,0,83.4323432343234,70.5412541254125,5.6006600660066,"2006-28"
