week_num,Pools_Tested,Positive_Pools,Total_Tested,MIR,Avg_TMAX,Total_PRCP,week_num.y.y,Hrs_Above_80_lag,Hrs_Above_75_lag,Hrs_Below_50_lag,Hrs_Between_50_86_lag,Avg_HourlyDryBulbTemp_lag,Avg_HourlyWetBulbTemp_lag,Hrs_Below_50_current,Avg_HourlyRelativeHumidity_current,Avg_HourlyWetBulbTemperature_current,Avg_HourlyWindSpeed_current,None.x,D0.x,D1.x,D2.x,D3.x,D4.x,DSCI_fema,None.y,D0.y,D1.y,D2.y,D3.y,D4.y,DSCI_ma,average_daylight_hours,Average_MEL,Total_MEL,Total_All,MEL_Prop
2007-23,53,0,2327,0,80.71428571428571,0.8300000000000001,2007-22,24,47,14,237,65.24705882352941,59.2,6,78.43959731543625,59.56375838926174,5.344202898550725,100,0,0,0,0,0,0,100,0,0,0,0,0,0,-8.88257936507937,112.16666666666669,1652,3331,0.4959471630141099
2007-25,16,0,659,0,74,0.3,2007-24,11,28,20,252,62.416058394160586,57.02919708029197,5,65.74883720930232,60.10697674418605,4.990566037735849,100,0,0,0,0,0,0,100,0,0,0,0,0,0,-8.77535714285714,165.66666666666666,998,2500,0.3992
2007-26,19,0,867,0,79.57142857142857,0.33999999999999997,2007-25,16,43,5,210,67.79069767441861,60.10697674418605,0,64.26737967914438,65.91978609625669,5.9502762430939224,100,0,0,0,0,0,0,100,0,0,0,0,0,0,-8.80031746031746,11.166666666666668,410,4246,0.09656146961846444
2007-27,20,1,752,1.3297872340425532,86.14285714285714,0.27,2007-26,54,81,0,167,74.45989304812834,65.91978609625669,16,70.36,62.252,5.465587044534413,90.55,9.45,0,0,0,0,9.45,100,0,0,0,0,0,0,-8.8765873015873,15.857142857142858,302,2336,0.1292808219178082
2007-28,31,0,1093,0,83.85714285714286,1.41,2007-27,32,63,16,224,69.064,62.252,0,73.47014925373135,67.77611940298507,5.015503875968992,86.87,13.13,0,0,0,0,13.13,100,0,0,0,0,0,0,-9.00126984126984,27.333333333333336,928,3190,0.2909090909090909
2007-29,48,0,1949,0,88.28571428571429,0.17,2007-28,71,134,0,256,74.05597014925372,67.77611940298507,0,75.21472392638037,66.73926380368098,3.083076923076923,90.87,9.13,0,0,0,0,9.13,100,0,0,0,0,0,0,-9.16916666666667,61.900000000000006,1507,4598,0.3277511961722488
2007-30,31,1,1236,0.8090614886731392,83.42857142857143,1.09,2007-29,35,115,0,322,72.33435582822086,66.73926380368098,0,73.77935943060498,68.29893238434164,3.832740213523132,90.87,9.13,0,0,0,0,9.13,100,0,0,0,0,0,0,-9.37440476190476,27.75,638,3087,0.20667314544865564
2007-31,32,0,863,0,86.57142857142857,0.51,2007-30,67,131,0,261,74.4982206405694,68.29893238434164,0,72.55430711610487,69.09737827715355,3.1908396946564888,86.45,13.55,0,0,0,0,13.55,100,0,0,0,0,0,0,-6.18234126984127,70.25,1170,2692,0.4346210995542348
2007-32,39,1,994,1.006036217303823,90.14285714285714,1.6300000000000001,2007-31,81,121,0,233,75.9625468164794,69.09737827715355,0,74.1146953405018,64.3763440860215,3.390681003584229,80.69,19.31,0,0,0,0,19.31,100,0,0,0,0,0,0,14.127380952381,21.09090909090909,843,2226,0.3787061994609165
2007-33,28,0,591,0,83,0.52,2007-32,44,115,0,270,70.24731182795699,64.3763440860215,20,74.05535055350553,62.06666666666667,3.449438202247191,100,0,0,0,0,0,0,100,0,0,0,0,0,0,13.8461507936508,15.09090909090909,730,2307,0.3164282618118769
